#,单词,音标,解释,笔记
24,"write up","","write up


(once / 6040 pages)


nv



WORD FAMILY
write up: writes up, writing up, written up, wrote up



USAGE EXAMPLES


He wrote up to three days before his death in March 2015.

Wall Street Journal(Dec 19, 2016)

Williams said he was often written up unreasonably for breaking prison rules.

Washington Times(Dec 16, 2016)

Rekimoto wrote up his initial findings in a blog post.

New York Times(Dec 14, 2016)





1n 
a short account of the news

Syn
|
Hypo
|
Hyper


account, news report, report, story

newsletter, newssheet
report or open letter giving informal or confidential news of interest to a special group
bulletin
a brief report (especially an official statement issued for immediate publication or broadcast)
communique, despatch, dispatch
an official report (usually sent in haste)
urban legend
a story that appears mysteriously and spreads spontaneously in various forms and is usually false; contains elements of humor or horror and is popularly believed to be true
exclusive, scoop
a news report that is reported first by one news organization
market letter
a newsletter written by an analyst of the stock market and sold to subscribers
flash, news bulletin, newsbreak, newsflash
a short news announcement concerning some on-going news story
information bulletin
a bulletin containing the latest information


news
information reported in a newspaper or news magazine





2v 
bring to public notice by writing, with praise or condemnation

Hyper


write
communicate or express by writing





3v 
put into writing; write in complete form

Syn
|
Hyper


write out

compose, indite, pen, write
produce a literary work",
25,"write","英:/raɪt/ 美:/raɪt/","- v. 书写；写字
- 写作；作曲；编写；写信
- （在信、书或文章中）写道，说道；（以文字）说
- 开（支票等）；填写（表格等）
- 【计】将（数据）写入（存储器）
- 好使；能使用；以…方式写


时 态:  
writes，writing，wrote，written",
26,"wrap","英:/ræp/ 美:/ræp/","- vt. 包；隐藏；缠绕；掩护
- vi. 缠绕；穿外衣；包起来
- n. 外套；围巾

WRAPabbr. Web-Ready Appliances Protocol可上网家电协议

时 态:  
wrapped, wrapt  
wrapping, wraps",
27,"wow","英:/waʊ/ 美:/waʊ/","- int. （表示极大的惊奇或钦佩）哇，呀
- v. （尤指以表演）博得…的称赞，使喝彩，使叫绝
- n. 极大的成功；一鸣惊人之举；（唱片或录音磁带逐渐出现的）走调，失真，颤动


时 态:  
wowed, wowing, wows",
28,"would","英:/wʊd/ 美:/wʊd/","- aux. 将，将要；愿意
- v. will的过去式",
29,"worthy","英:/ˈwɜːði/ 美:/ˈwɜːrði/","- adj. 应得某事物；值得做某事
- 可尊敬的

比较级:  
worthier，worthiest 

副 词:  
worthily

名 词:  
worthiness",
30,"worth","英:/wɜːθ/ 美:/wɜːrθ/","- adj. 值…的
- n. 价值；财产


时 态:  
worthed, worthing, worths",
31,"worry","英:/'wʌrɪ/ 美:/ˈwɜ:ri/","- n. 烦恼；担心；撕咬
- vt. 折磨；担心；发愁
- vi. 担心；烦恼；撕咬


时 态:  
worried 
worrying, worries  

名 词:  
worrier",
32,"worried","英:/'wʌrɪd/ 美:/'wɝɪd/","- adj. 焦虑的,烦恼的,担忧的
- 非常担心；焦虑过度
- (误会所致)你让我虛惊一场",
33,"world","英:/wɜːld/ 美:/wɝld/","n. 世界；全人类；世俗；领域；宇宙；物质生活",
34,"workshop","英:/ˈwɜːkʃɒp/ 美:/ˈwɜːrkʃɑːp/","n. 工场；车间；讲习班；研讨会

Workshop玉夫星座",
35,"works","/'wə:ks/","n. 工厂；作品；工程结构",
36,"workplace","英:/'wə:kpleis/ 美:/ˈwɚkˌples/","n. 工作场所; 工厂; 车间",
37,"workmanship","英:/'wɜːkmənʃɪp/ 美:/'wɝkmənʃɪp/","n. 技艺,工艺",
38,"workman","英:/ˈwɜːkmən/ 美:/ˈwɜːrkmən/","n. 技术工人, 工匠",
39,"working","英:/ˈwɜːkɪŋ/ 美:/ˈwɜːrkɪŋ/","- adj. 工作的；操作的；可行的
- n. 工作；制作；活动；操纵
- v. 工作；影响；受雇用（work的ing形式）",
40,"worker","英:/ˈwɜːkə(r)/ 美:/ˈwɜːrkər/","- n. 工作的人，工作者；研究者
- 员工，工人",
41,"worked","英:/wɜːkt/ 美:/wɝkt/","- adj. 处理过的；制造好的；耕种过的
- v. 工作（work的过去式和过去分词）",
42,"work out","","vt. &vi. 可以解决, 设计出, 作出, 计算出, 消耗完",
43,"work","英:/wɜːk/ 美:/wɜːrk/","- vt. & vi. (使)工作
- (使)运作, 运转
- (使)产生效果
- n. 工作, 劳动, 作业
- 事业
- 工作成果, 产品
- 著作, 作品
- 工厂
- 功

时 态:  
workedalso wrought  
working, works",
44,"word","英:/wɜːd/ 美:/wɜːrd/","- n. 单词；话语；消息；诺言；命令
- vt. 用言辞表达

Word微软公司生产的文字处理软件。

时 态:  
worded, wording, words",
45,"wooden","英:/ˈwʊdən/ 美:/ˈwʊdən/","adj. 木制的；僵硬的，呆板的


副 词:  
woodenly

名 词:  
woodenness",
46,"wood","英:/wʊd/ 美:/wʊd/","- n. 木材；树林；木制品
- vi. 收集木材
- vt. 植林于；给…添加木柴

Wood伍德(姓氏)

时 态:  
wooded, wooding, woods",
47,"wong","","",
48,"wonderfully","英:/ˈ w ʌndəfəllɪ/ 美:/'wʌndɚfəli/","- adv. 精彩地;极好地
- 惊人地;奇妙地",
49,"wonderful","英:/'wʌndəfʊl/ 美:/'wʌndɚfl/","adj. 极好的, 精彩的, 绝妙的

副 词:  
wonderfully",
50,"wonder","英:/'wʌndə/ 美:/'wʌndɚ/","- vt. & vi. 对…感到疑惑
- 想知道；问自己
- n. 惊奇，惊叹，惊异，惊诧
- 奇人，奇才
- 奇观，奇景，奇迹，奇事

时 态:  
wondered，wondering，wonders",
51,"woman","英:/'wʊmən/ 美:/'wʊmən/","- n. 成年女子, 妇女
- 女人(女子的总称)",
52,"wo","英:/wəʊ/ 美:/wo/","n. 令马停住的声音
WOabbr. Warrant Officer 准尉",
53,"witness","英:/ˈwɪtnəs/ 美:/ˈwɪtnəs/","- n. 目击者；证人
- 证词；证据
- vt. 亲眼看见，目击
- 作证，证明
- 表示，说明

时 态:  
witnessed，witnessing，witnesses",
54,"withstand","英:/wɪðˈstænd/ 美:/wɪðˈstænd/","vt. 经受, 承受

时 态:  
withstood 
withstanding, withstands",
55,"without","英:/wɪð'aʊt/ 美:/wɪ'θaʊt/","- prep. 没有；在…外面；超过
- adv. 在外面；户外；没有或不显示某事物
- n. 外部；外面",
56,"within","英:/wɪˈðɪn/ 美:/wɪˈðɪn/","- prep. 在…之内
- adv. 在内部
- n. 里面",
57,"withhold","英:/wɪðˈhəʊld/ 美:/wɪðˈhoʊld/","- vt. 保留，不给；抑制；隐瞒
- vi. 忍住；克制


时 态:  
withheld 
withholding, withholds",
58,"withdrawal","英:/wɪðˈdrɔːəl/ 美:/wɪðˈdrɔːəl/","- n. 收回，取回，撤回；撤退，撤走
- 收回[取回，撤回；撤退，撤走]的实例",
59,"withdraw","英:/wɪðˈdrɔː/ 美:/wɪðˈdrɔː/","- vt. & vi. 取[收]回
- (使)撤退[出]

时 态:  
withdrew 
withdrawn 
withdrawing, withdraws 

形容词:  
withdrawable

名 词:  
withdrawer",
60,"wish","英:/wɪʃ/ 美:/wɪʃ/","- n. 希望；祝福；心愿
- vt. 渴望；祝愿；向…致问候语
- vi. 愿望；需要


时 态:  
wished, wishing, wishes 

名 词:  
wisher",
61,"wise","英:/waɪz/ 美:/waɪz/","- adj. 聪明的；明智的；博学的
- vt. 使知道；教导
- vi. 了解


比较级:  
wiser, wisest 

副 词:  
wisely

名 词:  
wiseness",
62,"wiring","英:/'waɪərɪŋ/ 美:/'waɪərɪŋ/","- n. 线路；接线，架线；[医]金属线缝术
- v. 装电线（wire的现在分词）",
63,"wire","英:/ˈwaɪə(r)/ 美:/ˈwaɪər/","- n. 金属丝；电线；电报
- vt. 拍电报；给…装电线
- vi. 打电报


时 态:  
wired, wiring, wires 

形容词:  
wirable",
64,"wipe","英:/waɪp/ 美:/waɪp/","- vt. 擦；涂上；消除
- vi. 擦；打
- n. 擦拭；用力打


时 态:  
wiped, wiping, wipes",
65,"winter","英:/'wɪntə/ 美:/'wɪntɚ/","- n. 冬季；年岁；萧条期
- vi. 过冬
- adj. 冬天的；越冬的


时 态:  
wintered, wintering, winters 

形容词:  
winterish",
66,"winning","英:/'wɪnɪŋ/ 美:/'wɪnɪŋ/","- adj. 胜利的；获胜的
- n. 胜利；获得；成功
- v. 获胜（win的ing形式）


副 词:  
winningly

名 词:  
winningness",
67,"winner","英:/'wɪnə/ 美:/'wɪnɚ/","n. 胜利者",
68,"winger","英:/'wiŋə/ 美:/ˈwɪŋɡɚ/","n. 边锋",
69,"wing","英:/wɪŋ/ 美:/wɪŋ/","- n. 翅膀；翼；飞翔；派别
- vt. 使飞；飞过；空运；增加…速度；装以翼
- vi. 飞行


时 态:  
winged, winging, wings",
70,"wineglass","英:/'waɪnɡlɑːs/ 美:/'waɪnɡlæs/","n. 葡萄酒杯;高脚玻璃杯",
71,"wine","英:/waɪn/ 美:/waɪn/","- n. 葡萄酒
- (其他)果酒
- vi. 喝酒；大吃大喝；盛情款待

时 态:  
wined, wining, wines",
72,"window","英:/'wɪndəʊ/ 美:/'wɪndo/","n. 窗；窗口；窗户",
73,"wind","英:/wɪnd/ 美:/wɪnd/","- n. 风, 气流
- 呼吸
- vt. 缠绕, 卷绕
- 给…上发条
- vt. & vi. 迂回, 蜿蜒

时 态:  
winded, winding, winds 

名 词:  
winder",
74,"win","英:/wɪn/ 美:/wɪn/","- vt. & vi. (在…中)获胜, 赢, 战胜(对手)
- vt. 获得…
- (通过努力等)赢得, 博得, 获得
- n. (体育比赛中)胜利, 赢
WINWhip Inflation Now 立即制止通货膨胀运动〈美〉

时 态:  
won 
winning, wins",
75,"willingness","英:/ˈwɪlɪŋnəs/ 美:/ˈwɪlɪŋnəs/","n. 自愿;乐意",
76,"willing","英:/ˈwɪlɪŋ/ 美:/ˈwɪlɪŋ/","- adj. 乐意的；心甘情愿的；自愿的
- v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）


副 词:  
willingly

名 词:  
willingness",
77,"wildlife","英:/ˈwaɪldlaɪf/ 美:/ˈwaɪldlaɪf/","- n. 野生动植物
- adj. 野生动植物的",
78,"wilderness","英:/ˈwɪldənəs/ 美:/ˈwɪldərnəs/","- n. 荒野;沙漠
- (政治家)在野；不再当政(或掌权)",
79,"wife","英:/waɪf/ 美:/waɪf/","n. 妻子，已婚妇女；夫人


名 词:  
wifehood",
80,"widespread","英:/ˈwaɪdspred/ 美:/ˈwaɪdspred/","adj. 分布广的；普遍的，广泛的",
81,"widen","英:/ˈwaɪdn/ 美:/ˈwaɪdn/","vt. & vi. 放宽, 加宽, (使)变宽

时 态:  
widened, widening, widens 

名 词:  
widener",
82,"widely","/'waidli/","adv. 广泛地",
83,"wide","英:/waɪd/ 美:/waɪd/","- adj. 宽的，广阔的；张大的；远离目标的；广泛的
- adv. 广阔地；充分地；广泛地
- n. 大千世界


比较级:  
wider, widest 

副 词:  
widely

名 词:  
wideness",
84,"whose","英:/huːz/ 美:/huz/","- pron. 谁的
- 那个[些](人)的",
85,"whore","英:/hɔː/ 美:/hɔr/","- n. 妓女,男妓
- 性关系不道德的女子
- n. 妓院

时 态:  
whored, whoring, whores",
86,"wholly","英:/'həʊllɪ/ 美:/'holli/","adv. 完全地；全部；统统",
87,"wholesaler","英:/ˈhəʊlseɪlə(r)/ 美:/ˈhoʊlseɪlər/","n. 批发商",
88,"wholesale","英:/ˈhəʊlseɪl/ 美:/ˈhoʊlseɪl/","- n. 批发
- adj. &adv. 批发(的)
- 大规模(的)
- vt. 批发

时 态:  
wholesaled, wholesaling, wholesales 

名 词:  
wholesaler",
89,"whole","英:/həʊl/ 美:/hol/","- adj. 齐全的，整体的，全部的
- 没有破碎的；完整的
- n. 齐全，整体，全部
- 整体，一体

名 词:  
wholeness",
90,"whoever","英:/huː'evə/ 美:/hʊ'ɛvɚ/","- pron. (引导名词性从句)谁
- 无论谁, 不管谁
- 究竟是谁",
91,"white","英:/waɪt/ 美:/waɪt/","- adj. 白色的；白种的；纯洁的
- n. 白色；白种人；洁白

White怀特(姓氏)

比较级:  
whiter, whitest 
缩 写:  
wh

名 词:  
whiteness",
92,"whiskey","英:/ˈwɪski/ 美:/ˈwɪski/","- n. 威士忌酒
- adj. 威士忌酒的",
93,"whichever","英:/wɪtʃˈevə(r)/ 美:/wɪtʃˈevər/","- pron. …的那个人[事物]
- 无论哪个[哪些]
- adj. (究竟)哪个, 哪些",
94,"whether","英:/'weðə/ 美:/'wɛðɚ/","- conj. 是否
- 不管…(还是…)",
95,"wherever","英:/weər'evə/ 美:/wɛr'ɛvɚ/","- adv. 无论什么地方；究竟在哪里
- conj. 无论在哪里；无论什么情况下",
96,"whereas","英:/ˌweərˈæz/ 美:/ˌwerˈæz/","conj. 但是, 而",
97,"whereabouts","英:/ˈweərəbaʊts/ 美:/ˈwerəbaʊts/","- adv. 在什么地方, 靠近什么地方
- n. 下落, 去向",
98,"whenever","英:/wen'evə/ 美:/wɛn'ɛvɚ/","- conj. 每当；无论何时
- adv. 不论何时；随便什么时候",
99,"wheat","英:/wiːt/ 美:/wiːt/","n. 小麦",
100,"whatever","英:/wɒt'evə/ 美:/wət'ɛvɚ/","- adj. 不管什么样的
- pron. 无论什么；诸如此类
- conj. 无论什么",
101,"whale","英:/weɪl/ 美:/weɪl/","- vt. 猛揍；使惨败
- vi. 捕鲸
- n. 鲸；巨大的东西


时 态:  
whaled, whaling, whales",
102,"wetland","英:/'wetlənd/ 美:/'wɛtlənd/","n. 湿地；沼泽地",
103,"wet","英:/wet/ 美:/wet/","- adj. 潮的，湿的，潮湿的
- （天气）下雨的，有雨的
- （油漆、墨水等）未干的
- 【英式】软弱的；懦弱的；窝囊的
- v. 把…弄湿；使潮湿
- n. 液体（尤指水）
- 雨天；雨
- 【英式】英国保守党中观点不够鲜明（或激烈）的人
- 【英式】窝囊废；软骨头

比较级:  
wetter, wettest",
104,"west","英:/west/ 美:/wɛst/","- n. 西；西方；西部
- adj. 西方的；朝西的
- adv. 向西方；在西方；自西方",
105,"went","英:/went/ 美:/wɛnt/","v. 去，过去（go的过去式）",
106,"well-rounded","英:/'wel'raundid/ 美:/ˈwɛlˈraʊndɪd/","- adj. 丰满的
- 面面俱到的;多才多艺的
- (语句)有表达力的",
107,"wellington","英:/ˈwelɪŋtən/ 美:/ˈwɛlɪŋtən/","- n. 惠灵顿(新西兰首都)
- (w-)惠灵顿长统靴,橡胶靴",
108,"well","英:/wel/ 美:/wɛl/","- adv. 好，对，满意地；友好地，和蔼地；彻底地，完全地
- 夸奖地，称赞地
- 有理由地，恰当地
- 很，相当
- adj. 健康的；痊愈的
- 良好的；正常的；令人满意的
- int. (用于表示惊讶，疑虑，接受等)
- n. 井，水井
- 泉；源泉
- vi. (液体)涌出；流出；涌流

时 态:  
welled，welling，wells",
109,"welfare","英:/ˈwelfeə(r)/ 美:/ˈwelfer/","- n. 福利；福利事业；幸福；安宁
- adj. 福利的；接受社会救济的",
110,"welcome","英:/'welkəm/ 美:/'wɛlkəm/","- adj. 受欢迎的
- n. 欢迎
- vt. 欢迎
- int. 欢迎


时 态:  
welcomed, welcoming, welcomes 

名 词:  
welcomer",
111,"weight","英:/weɪt/ 美:/weɪt/","- n. 重量，重力；砝码；重要性；负担
- vt. 加重量于，使变重


时 态:  
weighted, weighting, weights",
112,"weigh","英:/weɪ/ 美:/weɪ/","- vt. & vi. 称…的重量
- link v. 重达
- vt. 权衡；考虑

时 态:  
weighed，weighing，weighs 

名 词:  
weigher",
113,"weekly","英:/ˈwiːkli/ 美:/ˈwiːkli/","- adj. 每周的；一周一次的；周刊的
- n. 周刊
- adv. 逐周；每周一次",
114,"weekend","英:/wiːk'end/ 美:/'wikɛnd/","n. 周末

时 态:  
weekended, weekending, weekends",
115,"weekday","英:/'wiːkdeɪ/ 美:/'wikde/","n. 平日, 普通日, (星期天及星期六以外的)任何一天",
116,"week","英:/wiːk/ 美:/wik/","n. 周，星期",
117,"wedding","英:/ˈwedɪŋ/ 美:/ˈwedɪŋ/","n. 婚礼",
118,"web","英:/web/ 美:/web/","- n. (蜘蛛等的)网
- 周密的布置；网状物；圈套
Web环球网

时 态:  
webbed，webbing，webs",
119,"weather","英:/ˈweðə(r)/ 美:/ˈweðər/","- n. 天气；气象；处境；气候
- vt. 经受住；使风化；侵蚀；使受风吹雨打
- vi. 受侵蚀；风化；经受风雨
- adj. 露天的；迎风的


时 态:  
weathered, weathering, weathers",
120,"wear out","","穿破，磨损，(使)筋疲力尽, 耗尽",
121,"wear","英:/weə/ 美:/wɛr/","- n. 穿著,磨损,耐久性
- v. 穿著,用旧,耗损


时 态:  
wore 
worn 
wearing, wears 

名 词:  
wearer",
122,"wealthy","英:/'welθɪ/ 美:/'wɛlθi/","adj. 富有的

比较级:  
wealthier, wealthiest 

副 词:  
wealthily",
123,"wealth","英:/welθ/ 美:/welθ/","n. 财富；大量；富有",
124,"weakness","英:/ˈwiːknəs/ 美:/ˈwiːknəs/","- n. 虚弱, 软弱
- 弱点, 缺点
- 偏好, 嗜好",
125,"way","英:/weɪ/ 美:/we/","- n. 道路；方法；方向；习惯；行业
- adv. 远远地；大大地
- adj. 途中的",
126,"watery","英:/'wɔːt(ə)rɪ/ 美:/'wɑtəri/","- adj. 含水的；充满水的
- (食物或饮料)水分太多的，稀的，味淡的
- 苍白的；微弱的；暗淡的
- n. 充满水；含水过多

比较级:  
waterier，wateriest 

名 词:  
wateriness",
127,"waterway","英:/'wɔːtəweɪ/ 美:/'wɔtɚwe/","n. 水路；航道；排水沟",
128,"waterproof","英:/ˈwɔːtəpruːf/ 美:/ˈwɔːtərpruːf/","- adj. 不透水的，防水的
- vt. 使防水；使不透水

时 态:  
waterproofed，waterproofing，waterproofs",
129,"watermelon","英:/'wɔːtəmelən/ 美:/'wɔtɚmɛlən/","n. 西瓜",
130,"water","英:/ˈwɔːtə(r)/ 美:/ˈwɔːtər/","- n. 水；雨水；海水；海域，大片的水
- vt. 使湿；供以水；给…浇水
- vi. 加水；流泪


时 态:  
watered, watering, waters",
131,"watch","英:/wɒtʃ/ 美:/wɑtʃ，wɔtʃ/","- vt. 注视；观察；看守；警戒
- n. 手表；守护；监视；值班人
- vi. 观看，注视；守侯，看守


时 态:  
watched, watching, watches",
132,"waste","英:/weɪst/ 美:/weɪst/","- n. 浪费；滥用
- 废料，废弃物
- 荒地
- vt. & vi. 浪费，徒劳
- (使)损耗，(使)消瘦
- vt. 破坏，使荒芜
- adj. 废弃的；无用的；荒芜的

时 态:  
wasted，wasting，wastes",
133,"wash","英:/wɒʃ/ 美:/wɑːʃ/","- n. 洗涤；洗的衣服；冲积物；化妆水
- vt. 洗涤；冲走；拍打；洗刷
- vi. 洗澡；被冲蚀

Wash(The Wash)沃什湾(英国东部 Norfolk 与 Lincolnshire 两郡之间的海湾)

时 态:  
washed, washing, washes",
134,"warranty","英:/ˈwɒrənti/ 美:/ˈwɔːrənti/","n. 担保；保证；授权；（正当）理由",
135,"warrant","英:/ˈwɒrənt/ 美:/ˈwɔːrənt/","- n. 授权证；许可证
- vt. 使…显得合理；成为…的根据
- 保证，担保

时 态:  
warranted，warranting，warrants 

形容词:  
warrantable",
136,"warning","英:/ˈwɔːnɪŋ/ 美:/ˈwɔːrnɪŋ/","- n. 发出警告;受到告诫
- 可引以为戒的事(或人)
- 征候;前兆
- (解雇、辞职等的)预先通知
- adj. 警告的;告诫的;引为戒的",
137,"warm","英:/wɔːm/ 美:/wɔrm/","- adj. 暖和的，温暖的
- 热情的，热心的
- 暖调的
- vt. & vi. (使)变暖；被加热；暖和起来

比较级:  
warmer，warmest 

名 词:  
warmer

形容词:  
warmish

副 词:  
warmly

名 词:  
warmness",
138,"warehouse","英:/ˈweəhaʊs/ 美:/ˈwerhaʊs/","n. 仓库, 货栈

时 态:  
warehoused, warehousing, warehousesalso",
139,"want","英:/wɒnt/ 美:/wɑnt/","- vt. 需要；缺少；应该；希望
- n. 需要；缺乏；贫困；必需品
- vi. 缺少；需要


时 态:  
wanted, wanting, wants 

名 词:  
wanter

形容词:  
wantless",
140,"walter","英:/ˈwɔ:ltə/ 美:/ˈvɑltɚ/","n. 飞机应急雷达发射机

Waltern. 沃尔特(亦作Walt)(m.)",
141,"walt","/wɔ:lt/","n. 沃尔特(男子名)",
142,"wall","英:/wɔːl/ 美:/wɔːl/","- n. 墙壁，围墙；似墙之物
- vt. 用墙围住，围以墙
- adj. 墙壁的


时 态:  
walled, walling, walls 

形容词:  
wallless",
143,"walkout","英:/'wɔːkaʊt/ 美:/'wɔkaʊt/","- n. （美）罢工；退出会场；谈恋爱
- adj. 有出口的",
144,"walking","英:/ˈwɔ:kɪŋ/ 美:/'wɔkɪŋ/","- n. 步行；散步
- v. 步行（walk的ing形式）
- adj. 步行的",
145,"walk","英:/wɔːk/ 美:/wɔːk，wɑːk/","- vt. & vi. 走, 步行, 散步
- n. 步行, 散步
- 行走的路程
- 步态
- 步行的路径

时 态:  
walked, walking, walks 

形容词:  
walkable",
146,"wale","英:/weɪl/ 美:/wel/","- n. 条痕,选择
- v. 使有鞭条痕,挑选

时 态:  
waled, waling, wales",
147,"wake","英:/weik/ 美:/wek/","- vi. 醒来；唤醒；警觉
- vt. 叫醒；激发
- n. 守夜；尾迹；守丧

Wake(=Wake Island)威克岛(北太平洋)

时 态:  
woke , waked  
waked, woken  
waking, wakes",
148,"waiting","英:/'weɪtɪŋ/ 美:/'wetɪŋ/","- n. 等候；等待
- (宫廷中的)侍奉，侍候
- 侍奉期间
- adj. 等待的
- 服侍的
- 早晚会出问题的人(或事情)；隐患
- (尤指因迟到)让人等候
- 伺机而动的策略；拖延战术
- (用于建议动手做商议中的事)我们还在等什么呢
- (用于告诉某人立刻行动)你还在等什么呢
- adj. 观望的
- n. 侍女",
149,"wait","英:/weɪt/ 美:/weɪt/","vt. & vi. 等候, 等待

时 态:  
waited, waiting, waits",
150,"wagon","英:/ˈwæɡən/ 美:/ˈwæɡən/","- n. 四轮的运货马车
- 〈英〉铁路货车
- 〈美〉小手推车

时 态:  
wagoned, wagoning, wagons",
151,"wage","英:/weɪdʒ/ 美:/weɪdʒ/","- vi. 进行；发动；从事
- n. 工资；报偿；代价
- vt. 开展；进行


时 态:  
waged, waging, wages",
152,"wag","英:/wæg/ 美:/wæɡ/","vt. & vi. (使)摇动, 摇摆

时 态:  
wagged, wagging, wags",
153,"voyage","英:/ˈvɔɪɪdʒ/ 美:/ˈvɔɪɪdʒ/","- n. 航行；航程；旅行记
- vi. 航海；航行
- vt. 飞过；渡过


时 态:  
voyaged, voyaging, voyages 

名 词:  
voyager",
154,"voucher","英:/ˈvaʊtʃə(r)/ 美:/ˈvaʊtʃər/","n. 证人；保证人；证明者；收据


时 态:  
vouchered, vouchering, vouchers",
155,"vouch","英:/vaʊtʃ/ 美:/vaʊtʃ/","- vt. 担保；证明；传出庭作证
- vi. 保证；证明；确定


时 态:  
vouched, vouching, vouches",
156,"vote","英:/vəʊt/ 美:/voʊt/","- n. 投票，选举；选票；得票数
- vt. 投票决定；公认；提议，使投票
- vi. 选举，投票


时 态:  
voted, voting, votes 

名 词:  
voter",
157,"volunteer","英:/ˌvɒlənˈtɪə(r)/ 美:/ˌvɑːlənˈtɪr/","n. 志愿者；志愿兵
adj.  志愿的
vi& vt.> 自愿

时 态:  
volunteered, volunteering, volunteers",
158,"volume","英:/ˈvɒljuːm/ 美:/ˈvɑːljuːm/","n. 量；体积；卷；音量；大量；册
adj. 大量的
vi. 成团卷起
vt.把…收集成卷",
159,"volatile","英:/ˈvɒlətaɪl/ 美:/ˈvɑːlətl/","- adj. （人或其情绪）不稳定的；易变的；易怒的，喜怒无常的
- （情况）可能急剧波动的；不稳定的；易恶化的
- （物质）易挥发的，易气化的
- 【计】（计算机内存）易失的
- n.【罕】 挥发物
- 有翅的动物


名 词: 
volatility",
160,"voice","英:/vɒɪs/ 美:/vɔɪs/","- n. 嗓音, 说话声, 歌唱声
- (口头或书面的)意见等, 发言权, 影响
- (动词的)语态

时 态:  
voiced, voicing, voices",
161,"vocational","英:/vəʊˈkeɪʃənl/ 美:/voʊˈkeɪʃənl/","adj. 职业的, 为职业做准备的

副 词:  
vocationally",
162,"vital","英:/ˈvaɪtl/ 美:/ˈvaɪtl/","- adj. 极重要的，必不可少的
- 维持生命所必需的；生命的
- 有生气的，充满生机的

副 词:  
vitally",
163,"visually","英:/'vizjuəli/ 美:/ˈvɪ ʒʊəlɪ/","adv. 外表上；看得见地；形象化地",
